distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
80.0,23,11,0,2,6,0.993367234136635,0.10066770531938572,0.9965589906635172,0.10034566320933745
90.0,23,4,0,0,4,0.9755177255177255,0.10250966987496628,0.9887874887874888,0.1011399944460376
90.0,23,4,0,0,6,0.9461703650680029,0.105689211681041,0.9757543217710405,0.10251644123147866
90.0,23,4,0,2,4,0.9848814568777918,0.10153506221653681,0.9926443451812825,0.10074322484614395
90.0,23,4,0,2,6,0.9527589652492506,0.10495834061644235,0.9771480043441778,0.10236232659186859
90.0,23,11,0,0,4,0.989105716854408,0.10110142757846335,0.9949348156819409,0.10051039600014394
90.0,23,11,0,0,6,0.9747036715813819,0.10259528399822038,0.9902964436999036,0.10098673222309067
90.0,23,11,0,2,4,0.9973357981731188,0.10026713187591997,0.9987979828174889,0.10012040873978452
90.0,23,11,0,2,6,0.9928944393604996,0.10071564109514773,0.9961925355332152,0.10038266099791848
100.0,23,4,0,0,2,0.9837009406422316,0.10165691204352487,0.9927019137204022,0.10073795613808098
100.0,23,4,0,0,4,0.9698139698139698,0.10311255881288454,0.9868901368901369,0.1013372508827223
100.0,23,4,0,0,6,0.9369899785254115,0.10672472736301306,0.9722302905668923,0.1028990126979818
100.0,23,4,0,2,2,0.995792736935341,0.10042250389148322,0.9986492471213463,0.10013550079247631
100.0,23,4,0,2,4,0.9833352422402932,0.1016947178382156,0.9917134348871837,0.1008383741453511
100.0,23,4,0,2,6,0.9477906073054291,0.10550853662107947,0.974479150067928,0.10264834568543323
100.0,23,11,0,0,2,0.993537268418785,0.10065047701647876,0.997845756139595,0.10021648108284098
100.0,23,11,0,0,4,0.9857460788469691,0.10144600333279578,0.9940159419984438,0.10060395673340913
100.0,23,11,0,0,6,0.9678621163619264,0.10332050227969207,0.9882569593964511,0.10119889313732715
100.0,23,11,0,2,2,0.9991292990857641,0.10008714596949891,0.9994994227626091,0.10005009399249351
100.0,23,11,0,2,4,0.9971712995702551,0.10028367246740495,0.9986353144927657,0.10013673511254657
100.0,23,11,0,2,6,0.9922438866745664,0.10078167408533276,0.9958335674551563,0.10041893491495614
110.0,23,4,0,0,4,0.9682344682344682,0.10328076853362335,0.9851941670123489,0.10151393430553149
110.0,23,4,0,0,6,0.9287890832008479,0.10766707082233794,0.9686101899530554,0.10329635087501148
110.0,23,4,0,2,4,0.982361699690757,0.10179549959193192,0.9908632771420539,0.10092538554958573
110.0,23,4,0,2,6,0.9450763397889128,0.10581155806136833,0.9720289158780101,0.10291194671676114
110.0,23,11,0,0,4,0.983457929059965,0.10168203137635452,0.9930561226404002,0.10070196351913144
110.0,23,11,0,0,6,0.9634567074191928,0.1037929356139619,0.9861902717316795,0.10141506334371338
110.0,23,11,0,2,4,0.9968440526716726,0.10031659388646288,0.9984724725090299,0.10015308591017531
110.0,23,11,0,2,6,0.99201636644878,0.10080478849152458,0.9955154673712916,0.10045108937967018
120.0,23,4,0,0,2,0.9821602335387609,0.10181638044914136,0.990944967023462,0.1009176935232577
120.0,23,4,0,0,4,0.9702527202527202,0.10306593108438095,0.9839490464490465,0.10164326737043561
120.0,23,4,0,0,6,0.9219251137465503,0.10846867984061812,0.9650190302448626,0.10369422233390428
120.0,23,4,0,2,2,0.996014171833481,0.10040017785682526,0.9982100679067022,0.10017961363653448
120.0,23,4,0,2,4,0.9812736227236285,0.10190837467172455,0.9900641392738518,0.10100730130976397
120.0,23,4,0,2,6,0.9387672343876723,0.10652267818574515,0.9694703249941379,0.10318969529129837
120.0,23,11,0,0,2,0.9904012079378774,0.10096918218447132,0.9966049981059754,0.10034193126644604
120.0,23,11,0,0,4,0.9825278810408922,0.10177828225501324,0.9921787691737746,0.1007916567471216
120.0,23,11,0,0,6,0.9559968258766627,0.10460285776398744,0.9838676989736013,0.10166027829911908
