distance_bin,P_t_dB,MCS,numerology,protocol_type,beta,PDR,PIR,cumulative_PDR,cumulative_PIR
325,23,4,0,NRV2X,0.15,0.6565847202897489,0.1523032701033163,0.8659578713471524,0.11721560021878018
325,23,4,0,SPC6G,0.05,0.9789525345671313,0.10214999856373787,0.9928762276129323,0.10072105403916425
325,23,4,0,SPC6G,0.1,0.9141348881694582,0.10939304614032241,0.9695760122762515,0.10320607313880613
325,23,4,0,SPC6G,0.15,0.7851040574261384,0.12737165099851477,0.918951734375713,0.10935836678566853
325,23,11,0,NRV2X,0.05,0.9300614637162162,0.10751977573657688,0.9767504869043911,0.1024344923694496
325,23,11,0,NRV2X,0.1,0.857331061745003,0.11664105555263683,0.9511923061510396,0.10538215792902375
325,23,11,0,NRV2X,0.15,0.75766938117394,0.1319836890400125,0.9141416821031391,0.11024432118231811
325,23,11,0,SPC6G,0.05,0.9904090593127453,0.10096838176075551,0.996847443803474,0.1003171906818398
325,23,11,0,SPC6G,0.1,0.9625187944501845,0.10389407518751109,0.9874407523010296,0.10128677245092448
325,23,11,0,SPC6G,0.15,0.9079160975559558,0.1101423361356768,0.9684037031839623,0.10335989702864157
350,23,4,0,NRV2X,0.05,0.9021246840762831,0.11084942221971622,0.9671834658543313,0.10348383849254109
350,23,4,0,NRV2X,0.1,0.781223827985843,0.12800428816645382,0.9222604593922217,0.10899132719153069
350,23,4,0,NRV2X,0.15,0.6003801710702537,0.16656113046128312,0.8482526913286925,0.12050530223494703
350,23,4,0,SPC6G,0.05,0.9747609905321635,0.10258925107928843,0.991668545140881,0.10084560050850587
350,23,4,0,SPC6G,0.1,0.8982225854758693,0.11133097922161578,0.964819117156226,0.10374773354432677
350,23,4,0,SPC6G,0.15,0.7457569179220984,0.1340919508713776,0.9074054132788054,0.11100727239138246
350,23,11,0,NRV2X,0.05,0.9193559928337927,0.10877179327646878,0.9729241872996846,0.10285697909658421
350,23,11,0,NRV2X,0.1,0.8370648780000968,0.11946505298241464,0.9435838109409768,0.1063210175992498
350,23,11,0,NRV2X,0.15,0.7274136673319774,0.13747335868293764,0.9016931477850616,0.11205959034902607
350,23,11,0,SPC6G,0.05,0.9888864391213873,0.10112384601901175,0.9963167101580016,0.10037096770431793
350,23,11,0,SPC6G,0.1,0.9568221840122617,0.10451262697596328,0.9853995144151118,0.1015018294192604
350,23,11,0,SPC6G,0.15,0.8951288497050834,0.11171576028741206,0.9635187129520371,0.10391695457922627
375,23,4,0,NRV2X,0.05,0.8850225194789153,0.1129914751309132,0.9620484067058679,0.10407806578243933
375,23,4,0,NRV2X,0.1,0.7473471693825527,0.13380662173728247,0.9113283787666173,0.11054228310064018
375,23,4,0,NRV2X,0.15,0.5498850972320066,0.18185617414142827,0.8296047166976497,0.12433973172910211
375,23,4,0,SPC6G,0.05,0.9701473036172927,0.10307713027407266,0.9903234675456567,0.1009850711188538
375,23,4,0,SPC6G,0.1,0.8810939179610557,0.11349527894984289,0.9595862922065279,0.10435695513217152
375,23,4,0,SPC6G,0.15,0.7090526298828707,0.14103325449412568,0.8950083643165595,0.11288389627280392
375,23,11,0,NRV2X,0.05,0.9083860299378669,0.11008535656018395,0.968890552464571,0.1033087526880592
375,23,11,0,NRV2X,0.1,0.8149636039059769,0.12270486623048886,0.9355450480012892,0.10734500813870225
375,23,11,0,NRV2X,0.15,0.696095909055705,0.14365836474409954,0.8888433203644768,0.11403451374871817
375,23,11,0,SPC6G,0.05,0.9873101749392518,0.10128529264489035,0.9957538017068297,0.10042811301310371
375,23,11,0,SPC6G,0.1,0.9504903259737724,0.10520885617383904,0.983217690137528,0.10173351859142157
375,23,11,0,SPC6G,0.15,0.8815220989663866,0.11344015098118727,0.9583939245779338,0.10451215435434884
400,23,4,0,NRV2X,0.05,0.8675058434742966,0.1152729987379767,0.956487079456952,0.10473659125041213
400,23,4,0,NRV2X,0.1,0.7076272489490548,0.1413173392467811,0.8993459593655843,0.1123525805210014
400,23,4,0,NRV2X,0.15,0.4973689728065114,0.20105797801525194,0.8100614376452298,0.12885256974593443
400,23,4,0,SPC6G,0.05,0.9653525278595109,0.10358910047268571,0.9888545887405894,0.10113824931613802
